GTDB R95 class	Number of genomes	Number of NCBI classes	List of NCBI classes
c__UBA8742	3	1	c__(p__Cyanobacteria) 100.0%
c__BMS3Abin14	3	1	c__(p__Cyanobacteria) 100.0%
c__Palsa-1180	3	1	c__(p__Cyanobacteria) 100.0%
c__B26-G2	3	1	c__(p__Cyanobacteria) 100.0%
c__E44-bin80	3	1	c__(p__Cyanobacteria) 100.0%
c__DTU014	3	2	c__Clostridia(p__Firmicutes) 66.67%, c__(p__Cyanobacteria) 33.33%
c__Brevinematia	3	2	c__(p__Cyanobacteria) 66.67%, c__Spirochaetia(p__Spirochaetes) 33.33%
c__TC1	3	2	c__(p__Cyanobacteria) 66.67%, c__Clostridia(p__Firmicutes) 33.33%
c__UBA2394	3	2	c__Oligoflexia(p__Proteobacteria) 66.67%, c__Deltaproteobacteria(p__Proteobacteria) 33.33%
c__DTU030	3	2	c__(p__Cyanobacteria) 66.67%, c__Clostridia(p__Firmicutes) 33.33%
c__UBA6919	3	2	c__Spirochaetia(p__Spirochaetes) 66.67%, c__(p__Cyanobacteria) 33.33%
c__Symbiobacteriia	3	2	c__(p__Cyanobacteria) 66.67%, c__Clostridia(p__Firmicutes) 33.33%
c__PUPC01	3	2	c__(p__Cyanobacteria) 66.67%, c__Candidatus Brocadiae(p__Planctomycetes) 33.33%
c__XYA12-FULL-58-9	3	2	c__Oligoflexia(p__Proteobacteria) 66.67%, c__Deltaproteobacteria(p__Proteobacteria) 33.33%
c__SZUA-365	3	3	c__Gammaproteobacteria(p__Proteobacteria) 33.33%, c__Ignavibacteria(p__Ignavibacteriae) 33.33%, c__(p__Cyanobacteria) 33.33%
c__Natranaerobiia	2	1	c__Clostridia(p__Firmicutes) 100.0%
c__Desulfofervidia	2	1	c__Deltaproteobacteria(p__Proteobacteria) 100.0%
c__GBS-1	2	1	c__(p__Cyanobacteria) 100.0%
c__OLB16	2	1	c__(p__Cyanobacteria) 100.0%
c__Desulfuribacillia	2	1	c__Bacilli 100.0%
c__2-12-FULL-62-27	2	1	c__(p__Cyanobacteria) 100.0%
c__AABM5-125-24	2	1	c__(p__Cyanobacteria) 100.0%
c__4572-55	2	1	c__(p__Cyanobacteria) 100.0%
c__4484-213	2	1	c__(p__Cyanobacteria) 100.0%
c__UBA5359	2	1	c__(p__Cyanobacteria) 100.0%
c__Bin61	2	1	c__(p__Cyanobacteria) 100.0%
c__UBA5214	2	1	c__(p__Cyanobacteria) 100.0%
c__UBA5177	2	1	c__(p__Cyanobacteria) 100.0%
c__UBA6191	2	1	c__(p__Cyanobacteria) 100.0%
c__UBA4092	2	1	c__(p__Cyanobacteria) 100.0%
c__UBA6077	2	1	c__(p__Cyanobacteria) 100.0%
c__SZUA-182	2	1	c__(p__Cyanobacteria) 100.0%
c__SZUA-567	2	1	c__(p__Cyanobacteria) 100.0%
c__PUNC01	2	1	c__(p__Cyanobacteria) 100.0%
c__J058	2	1	c__(p__Cyanobacteria) 100.0%
c__T1Sed10-126	2	1	c__(p__Cyanobacteria) 100.0%
c__J132	2	1	c__(p__Cyanobacteria) 100.0%
c__SURF-5	2	1	c__(p__Cyanobacteria) 100.0%
c__B3-LCP	2	1	c__(p__Cyanobacteria) 100.0%
c__Termititenacia	2	1	c__Candidatus Termititenacia 100.0%
c__SYMT01	2	1	c__Actinobacteria(p__Actinobacteria) 100.0%
c__SORT01	2	1	c__(p__Cyanobacteria) 100.0%
c__DG-23	2	2	c__(p__Cyanobacteria) 50.0%, c__Candidatus Brocadiae(p__Planctomycetes) 50.0%
c__Thermosulfidibacteria	2	2	c__Aquificae(p__Aquificae) 50.0%, c__(p__Cyanobacteria) 50.0%
c__MHYJ01	2	2	c__(p__Cyanobacteria) 50.0%, c__Planctomycetia(p__Planctomycetes) 50.0%
c__BOG-944	2	2	c__(p__Cyanobacteria) 50.0%, c__Armatimonadia(p__Armatimonadetes) 50.0%
c__Poseidoniia	2	2	c__Alphaproteobacteria(p__Proteobacteria) 50.0%, c__Verrucomicrobiae(p__Verrucomicrobia) 50.0%
c__Desulfomonilia	1	1	c__Deltaproteobacteria(p__Proteobacteria) 100.0%
c__Mahellia	1	1	c__Clostridia(p__Firmicutes) 100.0%
c__SDB-A	1	1	c__Deltaproteobacteria(p__Proteobacteria) 100.0%
c__DG-26_A	1	1	c__(p__Cyanobacteria) 100.0%
c__Latescibacteria	1	1	c__(p__Cyanobacteria) 100.0%
c__GCA-001730085	1	1	c__(p__Cyanobacteria) 100.0%
c__RBG-16-64-22	1	1	c__(p__Cyanobacteria) 100.0%
c__UBA8477	1	1	c__(p__Cyanobacteria) 100.0%
c__2-12-FULL-45-22	1	1	c__(p__Cyanobacteria) 100.0%
c__Glassbacteria	1	1	c__(p__Cyanobacteria) 100.0%
c__YA12-FULL-61-11	1	1	c__Deltaproteobacteria(p__Proteobacteria) 100.0%
c__CG2-30-54-11	1	1	c__(p__Cyanobacteria) 100.0%
c__RBG-13-61-14	1	1	c__Deltaproteobacteria(p__Proteobacteria) 100.0%
c__RBG-13-66-14	1	1	c__(p__Cyanobacteria) 100.0%
c__4484-49	1	1	c__(p__Cyanobacteria) 100.0%
c__JdFR-97	1	1	c__Deltaproteobacteria(p__Proteobacteria) 100.0%
c__4484-113	1	1	c__Planctomycetia(p__Planctomycetes) 100.0%
c__UBA5435	1	1	c__(p__Cyanobacteria) 100.0%
c__UBA4820	1	1	c__(p__Cyanobacteria) 100.0%
c__UBA6099	1	1	c__(p__Cyanobacteria) 100.0%
c__UBA4733	1	1	c__(p__Cyanobacteria) 100.0%
c__UBA6266	1	1	c__(p__Cyanobacteria) 100.0%
c__UBA10988	1	1	c__(p__Cyanobacteria) 100.0%
c__UBA7526	1	1	c__(p__Cyanobacteria) 100.0%
c__GCA-2686955	1	1	c__(p__Cyanobacteria) 100.0%
c__ARS69	1	1	c__(p__Cyanobacteria) 100.0%
c__UBA5829	1	1	c__(p__Cyanobacteria) 100.0%
c__UBA2233	1	1	c__(p__Cyanobacteria) 100.0%
c__UBA1439	1	1	c__(p__Cyanobacteria) 100.0%
c__UBA7883	1	1	c__Nitrospinia(p__Nitrospinae) 100.0%
c__UBA5301	1	1	c__(p__Cyanobacteria) 100.0%
c__GCA-002792135	1	1	c__(p__Cyanobacteria) 100.0%
c__FEN-1099	1	1	c__Deltaproteobacteria(p__Proteobacteria) 100.0%
c__RUG730	1	1	c__Elusimicrobia(p__Elusimicrobia) 100.0%
c__Muirbacteriia	1	1	c__(p__Cyanobacteria) 100.0%
c__HRBIN11	1	1	c__(p__Cyanobacteria) 100.0%
c__HRBIN17	1	1	c__(p__Cyanobacteria) 100.0%
c__HRBIN16	1	1	c__(p__Cyanobacteria) 100.0%
c__FEN-1346	1	1	c__Planctomycetia(p__Planctomycetes) 100.0%
c__B62-G9	1	1	c__(p__Cyanobacteria) 100.0%
c__UBA9089	1	1	c__(p__Cyanobacteria) 100.0%
c__J088	1	1	c__(p__Cyanobacteria) 100.0%
c__T1SED10-198M	1	1	c__(p__Cyanobacteria) 100.0%
c__UBA12135	1	1	c__Spirochaetia(p__Spirochaetes) 100.0%
c__CSSED10-310	1	1	c__(p__Cyanobacteria) 100.0%
c__RPQS01	1	1	c__(p__Cyanobacteria) 100.0%
c__B130-G9	1	1	c__(p__Cyanobacteria) 100.0%
c__B64-G9	1	1	c__Deltaproteobacteria(p__Proteobacteria) 100.0%
c__B129-G9	1	1	c__(p__Cyanobacteria) 100.0%
c__NPL-UPA2	1	1	c__(p__Cyanobacteria) 100.0%
c__SURF-8	1	1	c__Deltaproteobacteria(p__Proteobacteria) 100.0%
c__SURF-26	1	1	c__(p__Cyanobacteria) 100.0%
c__B143-G9	1	1	c__(p__Cyanobacteria) 100.0%
c__UBA9088	1	1	c__(p__Cyanobacteria) 100.0%
c__B3-B38	1	1	c__(p__Cyanobacteria) 100.0%
c__SBBH01	1	1	c__Planctomycetia(p__Planctomycetes) 100.0%
c__FW602-bin22	1	1	c__(p__Cyanobacteria) 100.0%
c__SOKK01	1	1	c__(p__Cyanobacteria) 100.0%
c__QYQD01	1	1	c__Deltaproteobacteria(p__Proteobacteria) 100.0%
c__SLNR01	1	1	c__(p__Cyanobacteria) 100.0%
