GTDB R95 genus	Number of genomes	Number of NCBI genera	List of NCBI genera
g__Cellulosilyticum	6	2	g__Cellulosilyticum(f__Lachnospiraceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__28L	6	2	g__Megasphaera(f__Veillonellaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Rickettsiella	6	2	g__Rickettsiella(f__Coxiellaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Pseudorhodoferax	6	2	g__Pseudorhodoferax(f__Comamonadaceae) 66.67%, g__Variovorax(f__Comamonadaceae) 33.33%
g__Basfia_A	6	3	g__Actinobacillus 66.67%, g__Pasteurella 16.67%, g__(f__Bradyrhizobiaceae) 16.67%
g__Clostridium_A	6	3	g__(f__Bradyrhizobiaceae) 66.67%, g__Clostridium(f__Clostridiaceae) 16.67%, g__Ruminococcus(f__Ruminococcaceae) 16.67%
g__Clostridium_R	6	2	g__Lachnoclostridium 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Kibdelosporangium	6	3	g__Kibdelosporangium 66.67%, g__Actinosynnema 16.67%, g__Rhodococcus(f__Nocardiaceae) 16.67%
g__Muricauda_A	6	2	g__Muricauda 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Chroococcidiopsis	6	3	g__Chroococcidiopsis 66.67%, g__Cyanosarcina(f__Chroococcaceae) 16.67%, g__Scytonema(f__Scytonemataceae) 16.67%
g__UBA10365	6	2	g__Rhodobacter 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__CAG-841	6	2	g__Eubacterium(f__Eubacteriaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__UMGS1375	6	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Ruminococcus(f__Ruminococcaceae) 33.33%
g__Methylomirabilis	6	2	g__Candidatus Methylomirabilis(f__) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__Ga0077555	6	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Hyphomicrobium 33.33%
g__Paeniglutamicibacter	6	2	g__Arthrobacter 66.67%, g__Paeniglutamicibacter 33.33%
g__Sulfuricella	6	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Sulfuricella(f__Gallionellaceae) 33.33%
g__GCA-2704625	6	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Candidatus Pelagibacter 33.33%
g__Klenkia	6	3	g__Klenkia 66.67%, g__Geodermatophilus 16.67%, g__Modestobacter 16.67%
g__CAG-267	6	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Acetobacter(f__Acetobacteraceae) 33.33%
g__Marinosulfonomonas	6	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Marinosulfonomonas 33.33%
g__Bipolaricaulis	6	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Candidatus Bipolaricaulis(f__) 33.33%
g__RUG023	6	2	g__Sphaerochaeta(f__Spirochaetaceae) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__CAG-390	6	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Anaerotruncus(f__Ruminococcaceae) 33.33%
g__Pseudohoeflea	6	3	g__(f__Bradyrhizobiaceae) 66.67%, g__Hoeflea(f__Phyllobacteriaceae) 16.67%, g__Pseudohoeflea(f__Phyllobacteriaceae) 16.67%
g__Emcibacter_A	6	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Emcibacter 33.33%
g__UBA2779	6	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Spirochaeta(f__Spirochaetaceae) 33.33%
g__Phreatobacter	6	2	g__Phreatobacter(f__) 66.67%, g__(f__Bradyrhizobiaceae) 33.33%
g__CAG-484	6	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Brachyspira(f__Brachyspiraceae) 33.33%
g__CAG-605	6	3	g__(f__Bradyrhizobiaceae) 66.67%, g__Mycoplasma(f__Mycoplasmataceae) 16.67%, g__Coprobacillus(f__Erysipelotrichaceae) 16.67%
g__BACL27	6	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Acidimicrobium(f__Acidimicrobiaceae) 33.33%
g__CAG-1024	6	2	g__(f__Bradyrhizobiaceae) 66.67%, g__Clostridium(f__Clostridiaceae) 33.33%
g__Reinekea	6	2	g__Reinekea 50.0%, g__(f__Bradyrhizobiaceae) 50.0%
g__Rippkaea	6	3	g__(f__Bradyrhizobiaceae) 50.0%, g__Rippkaea(f__Aphanothecaceae) 33.33%, g__Cyanothece(f__Cyanothecaceae) 16.67%
g__Thermomonospora	6	2	g__Thermomonospora(f__Thermomonosporaceae) 50.0%, g__Actinomadura(f__Thermomonosporaceae) 50.0%
g__Niveispirillum	6	3	g__Niveispirillum(f__Rhodospirillaceae) 50.0%, g__Azospirillum(f__Rhodospirillaceae) 33.33%, g__(f__Bradyrhizobiaceae) 16.67%
g__Basfia	6	3	g__Basfia 50.0%, g__Pasteurella 33.33%, g__Mannheimia 16.67%
g__Rouxiella	6	3	g__Rouxiella(f__Yersiniaceae) 50.0%, g__Serratia(f__Yersiniaceae) 33.33%, g__(f__Bradyrhizobiaceae) 16.67%
g__Comamonas_C	6	2	g__Comamonas(f__Comamonadaceae) 50.0%, g__(f__Bradyrhizobiaceae) 50.0%
g__Psychrilyobacter	6	2	g__Psychrilyobacter 50.0%, g__(f__Bradyrhizobiaceae) 50.0%
g__Paucibacter_A	6	3	g__Paucibacter(f__) 50.0%, g__(f__Bradyrhizobiaceae) 33.33%, g__Pelomonas(f__Comamonadaceae) 16.67%
g__Lacunisphaera	6	3	g__(f__Bradyrhizobiaceae) 50.0%, g__Lacunisphaera 33.33%, g__Opitutus 16.67%
g__F0040	6	2	g__Alloprevotella(f__Prevotellaceae) 50.0%, g__(f__Bradyrhizobiaceae) 50.0%
g__Dokdonella	6	3	g__(f__Bradyrhizobiaceae) 50.0%, g__Dokdonella 33.33%, g__Rhodanobacter 16.67%
g__Uliginosibacterium	6	3	g__Candidatus Dactylopiibacterium 50.0%, g__Uliginosibacterium(f__Zoogloeaceae) 33.33%, g__(f__Bradyrhizobiaceae) 16.67%
g__Mangrovicoccus	6	4	g__(f__Bradyrhizobiaceae) 50.0%, g__Pseudoruegeria 16.67%, g__Mangrovicoccus 16.67%, g__Poseidonocella 16.67%
g__Clostridium_U	6	3	g__Clostridium(f__Clostridiaceae) 50.0%, g__(f__Bradyrhizobiaceae) 33.33%, g__Peptoclostridium 16.67%
g__Ha5	6	3	g__Neokomagataea 50.0%, g__(f__Bradyrhizobiaceae) 33.33%, g__Swingsia 16.67%
g__Thauera_A	6	3	g__Thauera(f__Zoogloeaceae) 33.33%, g__(f__Bradyrhizobiaceae) 33.33%, g__Azoarcus(f__Zoogloeaceae) 33.33%
g__Malacoplasma	5	1	g__Mycoplasma(f__Mycoplasmataceae) 100.0%
g__Clostridium_L	5	1	g__Clostridium 100.0%
g__Clostridium_X	5	1	g__Clostridium 100.0%
g__Leptotrichia_A	5	1	g__Leptotrichia 100.0%
g__Pseudomonas_H	5	1	g__Pseudomonas 100.0%
g__PN-J185	5	1	g__Ferrovum 100.0%
g__Sphingomonas_B	5	1	g__Sphingomonas 100.0%
g__Azoarcus_A	5	1	g__Azoarcus(f__Zoogloeaceae) 100.0%
g__Thioalkalivibrio_A	5	1	g__Thioalkalivibrio 100.0%
g__Sulfurospirillum_A	5	1	g__Sulfurospirillum(f__Campylobacteraceae) 100.0%
g__Bacillus_AB	5	1	g__Bacillus(f__Bacillaceae) 100.0%
g__Desulfobulbus_A	5	1	g__Desulfobulbus 100.0%
g__Bacillus_P	5	1	g__Bacillus 100.0%
g__Cetobacterium_A	5	1	g__Cetobacterium 100.0%
g__Bombilactobacillus	5	1	g__Lactobacillus 100.0%
g__GWC2-36-17	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10165	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12028	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12465	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12409	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWA2-47-10	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWA2-43-13	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12472	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1876	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__32-111	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__TTA-H9	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__46-47	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAG-353	5	1	g__Ruminococcus 100.0%
g__OLB10	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CAG-462	5	1	g__Bacteroides 100.0%
g__BN30871	5	1	g__Sulfurovum(f__) 100.0%
g__Amylolactobacillus	5	1	g__Lactobacillus 100.0%
g__Legionella_D	5	1	g__Legionella 100.0%
g__DTU049	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__79-D21	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWC2-55-46	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Tc-Br11-B2g6-7	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Peptoniphilus_C	5	1	g__Peptoniphilus 100.0%
g__XYB2-FULL-45-9	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-40-10	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-39-13	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-48-16	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWE2-51-13	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-12-FULL-55-11	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__WO2-FULL-39-9	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-01-FULL-41-14	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWE2-31-10	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1551	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-40-12	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-45-18	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__40CM-3-55-5	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__WO2-49-40	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1561	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__YD12-FULL-39-22	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-63-19	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-50-16-A	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__20CM-2-55-15	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__XYC2-FULL-35-21	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__XYC1-FULL-37-79	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9968	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CG2-30-40-21	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__XYC2-34-220	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CG1-02-47-37	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-01-FULL-37-20	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWA1-52-35	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10015	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5201	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__2-02-FULL-38-15-A	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CG2-30-44-17	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6244	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA10183	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CG2-30-36-38	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GWE2-42-24	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2163	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA12294	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8296	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__TMED161	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__50-400-T64	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__4484-219	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7227	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Tokpelaia	5	1	g__Candidatus Tokpelaia(f__) 100.0%
g__TMED58	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__TMED6	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8337	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Pseudomonas_K	5	1	g__Pseudomonas 100.0%
g__Bacillus_BJ	5	1	g__Bacillus(f__Bacillaceae) 100.0%
g__Mycetocola_A	5	1	g__Mycetocola 100.0%
g__Pseudomonas_O	5	1	g__Pseudomonas 100.0%
g__UBA6955	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002700125	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4479	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002708145	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA826	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4665	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2962	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2136	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2192	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11650	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2160	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5518	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2968	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__MED-G13	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2161	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8110	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6857	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4735	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002782285	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4881	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA854	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4096	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2450	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5946	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1535	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-337-I02	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA7916	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-2707915	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6522	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8649	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002790695	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA9662	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA4151	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1081	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1829	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA6901	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UM-FILTER-41-21	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA668	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-2712005	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2250	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Tous-C4FEB	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA2353	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA1820	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA5633	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8108	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__GCA-002707645	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA956	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA3663	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA8558	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA969	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA644	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Blastopirellula_A	5	1	g__Blastopirellula(f__Planctomycetaceae) 100.0%
g__UBA11063	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RUG762	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Palsa-739	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Bog-752	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Fen-1135	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Fen-671	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Bog-473	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Palsa-742	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UBA11740	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Fen-1254	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Gp1-AA145	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-422-B15	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AR12	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Palsa-1392	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AG-363-K07	5	1	g__Prochlorococcus(f__Prochloraceae) 100.0%
g__UBA11517	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS902	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__UMGS911	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SFMI01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWUC01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLHA01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLLF01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLLR01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWXP01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKON01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__PWPS01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKKC01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLAA01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLLG01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SKJO01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SXTU01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__AP-15	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CF-163	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__VAZQ01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__CF-118	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__WS-7	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RDZH01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__RDXZ01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLCK01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLJM01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__SLCP01	5	1	g__(f__Bradyrhizobiaceae) 100.0%
g__Citricoccus	5	2	g__Citricoccus 80.0%, g__Micrococcus 20.0%
g__Bergeyella	5	2	g__Bergeyella(f__Flavobacteriaceae) 80.0%, g__Campylobacter(f__Campylobacteraceae) 20.0%
g__Propionimicrobium	5	2	g__Propionimicrobium 80.0%, g__Propionibacterium 20.0%
g__Paenibacillus_D	5	2	g__Paenibacillus 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Ancylobacter	5	2	g__Ancylobacter 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Endoriftia	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Candidatus Endoriftia(f__) 20.0%
g__Tullyiplasma	5	2	g__Mesoplasma(f__Entomoplasmataceae) 80.0%, g__Acholeplasma(f__Acholeplasmataceae) 20.0%
g__Faecalitalea	5	2	g__Faecalitalea 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Gabonibacter	5	2	g__Sanguibacteroides(f__Porphyromonadaceae) 80.0%, g__Gabonibacter(f__Porphyromonadaceae) 20.0%
g__Thermaerobacter	5	2	g__Thermaerobacter(f__Clostridiales Family XVII. Incertae Sedis) 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Scardovia	5	2	g__Scardovia 80.0%, g__Parascardovia 20.0%
g__Lysinibacillus_B	5	2	g__Lysinibacillus(f__Bacillaceae) 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Bacillus_AR	5	2	g__Bacillus(f__Bacillaceae) 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Hirschia	5	2	g__Hirschia 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Catenovulum	5	2	g__Catenovulum 80.0%, g__Gayadomonas 20.0%
g__Geminisphaera	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Geminisphaera 20.0%
g__Roseobacter	5	2	g__Roseobacter 80.0%, g__Sulfitobacter 20.0%
g__Thermosynechococcus	5	2	g__Thermosynechococcus(f__Synechococcaceae) 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Parageobacillus_A	5	2	g__Parageobacillus(f__Bacillaceae) 80.0%, g__Geobacillus(f__Bacillaceae) 20.0%
g__Salinimonas	5	2	g__Salinimonas 80.0%, g__Alteromonas 20.0%
g__Pyramidobacter	5	2	g__Pyramidobacter(f__Synergistaceae) 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Holdemania	5	2	g__Holdemania 80.0%, g__Solobacterium 20.0%
g__CAG-314	5	2	g__Subdoligranulum(f__Ruminococcaceae) 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__CAG-831	5	2	g__Alistipes(f__Rikenellaceae) 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__CAG-632	5	2	g__Clostridium(f__Clostridiaceae) 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__MedAcidi-G2B	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Candidatus Microthrix(f__Microthrixaceae) 20.0%
g__Alpha-05	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Rhodospirillum 20.0%
g__Laceyella	5	2	g__Laceyella 80.0%, g__Thermoactinomyces 20.0%
g__Tamlana_A	5	2	g__Tamlana 80.0%, g__Algibacter 20.0%
g__Hydrotalea	5	2	g__Hydrotalea 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__46-32	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Citrobacter(f__Enterobacteriaceae) 20.0%
g__Filimonas	5	2	g__Filimonas 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Iodobacter	5	2	g__Iodobacter(f__Chromobacteriaceae) 80.0%, g__Janthinobacterium(f__Oxalobacteraceae) 20.0%
g__UBA4132	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Crenothrix(f__Crenotrichaceae) 20.0%
g__UBA5609	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Syntrophorhabdus 20.0%
g__Anaerospora	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Anaerospora(f__Sporomusaceae) 20.0%
g__Timonella	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Timonella(f__) 20.0%
g__UBA4207	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Halobacteriovorax(f__Halobacteriovoraceae) 20.0%
g__DTU032	5	2	g__Mageeibacillus(f__Hungateiclostridiaceae) 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Holophaga	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Holophaga 20.0%
g__Marinoscillum	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Marinoscillum(f__Cytophagaceae) 20.0%
g__Tol-SR	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Desulfobulbus(f__Desulfobulbaceae) 20.0%
g__MED-G40	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Candidatus Pelagibacter 20.0%
g__UBA2897	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Selenomonas 20.0%
g__CAG-568	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Clostridium(f__Clostridiaceae) 20.0%
g__Azoarcus_C	5	2	g__Azoarcus(f__Zoogloeaceae) 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Pseudoclostridium	5	2	g__Pseudoclostridium(f__Hungateiclostridiaceae) 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Rhodoplanes	5	2	g__Rhodoplanes(f__Hyphomicrobiaceae) 80.0%, g__Rhodovulum(f__Rhodobacteraceae) 20.0%
g__CAG-433	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Clostridium(f__Clostridiaceae) 20.0%
g__UMGS1781	5	2	g__Clostridium(f__Clostridiaceae) 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__UBA10281	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Acidiphilium(f__Acetobacteraceae) 20.0%
g__CAG-628	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Clostridium(f__Clostridiaceae) 20.0%
g__CAG-288	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Clostridium(f__Clostridiaceae) 20.0%
g__UBA11471	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Bacteroides(f__Bacteroidaceae) 20.0%
g__Cyclonatronum	5	2	g__(f__Bradyrhizobiaceae) 80.0%, g__Candidatus Cyclonatronum(f__) 20.0%
g__Nitrotoga	5	2	g__Candidatus Nitrotoga 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__SXKJ01	5	2	g__Planctomyces 80.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Parashewanella	5	2	g__Parashewanella 80.0%, g__Shewanella 20.0%
g__Ezakiella	5	2	g__(f__Bradyrhizobiaceae) 60.0%, g__Ezakiella(f__) 40.0%
g__Bilophila	5	2	g__Bilophila 60.0%, g__Desulfovibrio 40.0%
g__Geminocystis	5	2	g__Geminocystis(f__Chroococcaceae) 60.0%, g__Cyanobacterium 40.0%
g__Draconibacterium	5	2	g__Draconibacterium 60.0%, g__(f__Bradyrhizobiaceae) 40.0%
g__Actinotalea	5	2	g__Cellulomonas 60.0%, g__Actinotalea 40.0%
g__Sediminibacillus	5	3	g__Sediminibacillus(f__Bacillaceae) 60.0%, g__Virgibacillus(f__Bacillaceae) 20.0%, g__Bacillus(f__Bacillaceae) 20.0%
g__Hungatella_A	5	3	g__Hungatella(f__Clostridiaceae) 60.0%, g__Clostridium(f__Clostridiaceae) 20.0%, g__(f__Bradyrhizobiaceae) 20.0%
g__Chania	5	2	g__Serratia(f__Yersiniaceae) 60.0%, g__Chania(f__Yersiniaceae) 40.0%
g__14-2	5	3	g__(f__Bradyrhizobiaceae) 60.0%, g__Eubacterium(f__Eubacteriaceae) 20.0%, g__Roseburia 20.0%
g__Daejeonella	5	2	g__Pedobacter 60.0%, g__(f__Bradyrhizobiaceae) 40.0%
